Sample_id,Class_1,Class_2,Class_3,Class_4,Class_5,Class_6,Class_7,Class_8,Class_9,Class_10
1,2.74445631185e-09,2.19471563341e-09,0.999971386582,3.34404130594e-10,2.20174450028e-13,2.8585658669e-05,2.24852315098e-08,3.55259761969e-19,5.00021738408e-14,7.09519517367e-20
2,6.94042657534e-09,4.31186437395e-11,0.999456014097,4.21040749821e-10,2.57994058366e-14,0.000157567055045,0.000147006867103,1.14559494662e-14,0.000239404576497,2.8760009966e-19
3,0.0106511483425,4.65640872706e-09,1.26715789923e-05,0.000893587453438,1.26412101579e-07,0.00118599597616,0.987218872148,3.74445926777e-05,4.32059960219e-14,1.48839439369e-07
4,0.999612831546,0.000385947786616,7.98859544415e-15,7.22533516174e-11,2.77243976991e-10,2.88639521514e-13,1.21069680624e-06,5.61686182235e-09,2.82140224231e-24,4.00434887763e-09
5,0.998149867828,3.02643351863e-09,1.29195835701e-13,2.55565431313e-10,9.27418809724e-06,9.41017834601e-05,3.22188118098e-08,1.12934051222e-07,1.3859375734e-17,0.00174660776552
6,0.00203282600524,8.13731813871e-11,3.7154131158e-05,0.000291629931766,1.0841001251e-05,0.911603196225,0.00749212938978,0.078532185447,1.58493871347e-11,3.7771974693e-08
7,0.000225192593632,3.86676750152e-06,0.000552064324743,8.96199031184e-06,2.61647924513e-09,0.999209866944,4.46082070352e-08,2.86887431197e-14,1.55448629273e-10,1.87353248627e-14
8,0.999242458047,0.000203127292385,2.71267018445e-07,1.97620004482e-06,1.63157201442e-12,8.66854455332e-07,0.000550113929509,1.65176129817e-07,1.02121781435e-06,1.44637737026e-11
9,0.484832192116,1.95450302434e-08,0.512145965808,1.52739868754e-07,4.11807061459e-05,0.00297074520976,1.78239825746e-06,7.96101010914e-06,9.85391195731e-14,4.66807690371e-10
10,0.299738452297,0.53579318218,0.164468356541,2.1804784373e-09,1.84083887969e-09,4.71091034621e-09,2.85385770155e-13,2.49239357473e-10,1.08875027407e-14,2.14622270407e-18
11,0.996503363423,1.33011265859e-05,8.95444356419e-06,3.46825284382e-08,8.95841148495e-06,6.64779591282e-07,0.000157925947015,0.00330581924894,1.23901890066e-15,9.77936923856e-07
12,0.999902875756,4.12738657128e-14,2.15596533874e-08,2.98583441219e-19,3.15948240587e-17,2.34734876596e-10,9.71024485859e-05,1.3068343844e-17,9.55869003205e-14,7.78211131505e-13
13,0.636534279326,1.3535316765e-05,0.363338414949,1.89588254755e-06,6.8260111488e-09,1.40351104725e-06,0.000110257610881,2.06576780987e-07,2.32771442953e-15,1.18114157283e-12
14,0.0236349409993,7.51908210527e-07,1.47381802005e-09,0.97616169236,3.69934931573e-07,7.05823574265e-06,0.00019518172599,3.78572123257e-14,3.74346641e-13,3.36193992522e-09
15,3.45771743358e-11,0.860792601831,5.56014324532e-08,4.11959301591e-16,8.59614837602e-14,0.120371384744,0.0188359559303,1.81634481551e-31,1.857997088e-09,4.32049275347e-20
16,0.986081038345,0.00785875327021,4.23192996261e-06,0.00572695765825,2.26182855341e-10,5.77220547218e-06,0.000322026117502,1.21933799978e-06,9.09612952748e-10,3.05055546098e-14
17,0.000107110127538,3.3283433348e-07,0.998757970849,4.2140669738e-06,6.13351364232e-09,0.000999333379651,0.000107640348276,1.58653874091e-08,2.33763268743e-05,6.89109128057e-11
18,1.0,3.05090143893e-19,6.96185594519e-39,2.36868593437e-31,4.02078267009e-25,4.67868791949e-21,3.31931940264e-29,1.05888604681e-20,2.36072133953e-30,1.29013303621e-31
19,7.2895019653e-11,1.93975086539e-20,0.99998058847,1.56028055302e-21,3.08480054091e-11,1.9411419305e-05,2.69328398413e-12,1.58921423898e-14,4.23518346559e-12,5.93736052665e-19
20,9.25396680366e-06,0.992439321323,5.84308059123e-10,3.20694714474e-08,3.66801704807e-11,0.00755136640244,2.05008303366e-08,7.79509551521e-12,5.10747944935e-09,1.57083836182e-12
21,1.9749174989e-07,7.88925823456e-06,0.999991111109,1.24216280373e-12,4.24778529922e-17,1.77286693137e-08,7.84409705618e-07,1.74347248055e-12,2.24652851603e-20,3.01560967089e-17
22,0.949232411452,1.93997072794e-07,0.0385222908145,1.49892832031e-12,1.37739449202e-14,0.0120878131434,0.000157290589681,1.6610783682e-12,5.69705690816e-23,2.15412075641e-14
23,0.857489077515,0.000215525370281,0.142180533381,7.30935935627e-07,4.50026481282e-08,0.000111061437491,3.00797331305e-06,1.80470223337e-08,8.43133409846e-18,3.37573861682e-10
24,0.0177889170394,0.0764461250266,0.000268979529555,0.029788698001,2.71860874845e-08,0.00105029119526,0.874656523414,4.38521853456e-07,7.39337927394e-11,1.26600600401e-11
25,0.991506057644,2.31703772119e-05,0.00449847653653,2.01704475945e-06,3.22066592969e-08,0.00033877009807,0.00211409569771,0.00151589324352,1.41456505781e-06,7.25863514589e-08
26,0.000902646711584,0.000143006410349,0.00824359138766,0.142653535341,1.85590769981e-09,0.00517546711059,0.842881750869,3.12620461108e-10,1.09415930889e-16,1.17807758074e-12
27,7.09753373961e-11,7.1935123764e-08,0.999404351777,1.24871359208e-12,1.61954730667e-16,0.000595539381293,7.24953285906e-12,2.2100483635e-21,3.68274392989e-08,6.51390219676e-21
28,0.0163694904787,1.34876145032e-06,0.950787210649,5.05093750307e-05,4.95335086157e-05,0.0222147547415,0.000197480723987,0.0100252377383,0.000304257590937,1.76432126717e-07
